date,suhu_avg,wind_avg,label
1/1/2023,23.35,13.525,
1/2/2023,23.9,17.95,
1/3/2023,23.2,17.225,
1/4/2023,23.7,12.75,
1/5/2023,23.625,16.25,
1/6/2023,24.525,20.025,
1/7/2023,24.875,16.75,
1/8/2023,24.625,13.175,
1/9/2023,24.575,12.225,
1/10/2023,25.375,7.975,
1/11/2023,24.575,10.45,
1/12/2023,25.075,10.225,
1/13/2023,24.6,10.125,
1/14/2023,25.275,10.125,
1/15/2023,25.625,10.8,
1/16/2023,25.725,13.625,
1/17/2023,24.7,9.625,
1/18/2023,24.375,7.275,
1/19/2023,24.7,7.525,
1/20/2023,24.6,10.8,
1/21/2023,24.3,13.35,
1/22/2023,24.975,12.45,
1/23/2023,24.775,10.725,
1/24/2023,24.875,13.4,
1/25/2023,22.85,15.275,
1/26/2023,24.325,11.9,
1/27/2023,24.775,12.125,
1/28/2023,24.35,12.725,
1/29/2023,24.325,14.9,
1/30/2023,23.85,12.6,
1/31/2023,25,16.3,
2/1/2023,24.525,11.075,
2/2/2023,24.5,13.4,
2/3/2023,23.25,12.6,
2/4/2023,23.6,15.65,
2/5/2023,24.025,20.825,
2/6/2023,24.075,16.8,
2/7/2023,25.025,12.475,
2/8/2023,24.325,14.55,
2/9/2023,22.875,17.575,
2/10/2023,24.55,15.5,
2/11/2023,24.25,14.025,
2/12/2023,22.925,15.9,
2/13/2023,23.725,20.25,
2/14/2023,23.4,18.85,
2/15/2023,23.35,18.125,
2/16/2023,24.1,15.55,
2/17/2023,24.35,8.55,
2/18/2023,24.3,11.2,
2/19/2023,24.425,14.9,
2/20/2023,24.05,15.5,
2/21/2023,24.625,12.6,
2/22/2023,24.15,14,
2/23/2023,24.15,12.6,
2/24/2023,24.075,13.1,
2/25/2023,23.725,16.2,
2/26/2023,24.175,12.875,
2/27/2023,22.55,18.2,
2/28/2023,22.975,15.35,
3/1/2023,23.3,18.675,
3/2/2023,22.425,14.35,
3/3/2023,24.1,18.15,
3/4/2023,23.25,14.975,
3/5/2023,23.8,17.425,
3/6/2023,25.35,13.725,
3/7/2023,25.825,11.225,
3/8/2023,25.25,9.225,
3/9/2023,24.6,8.425,
3/10/2023,24.6,7.5,
3/11/2023,25.15,9.45,
3/12/2023,25.275,11,
3/13/2023,25.425,9.675,
3/14/2023,24.725,12.125,
3/15/2023,25.15,7.45,
3/16/2023,26.175,5.275,
3/17/2023,24.75,9.175,
3/18/2023,25.825,7.025,
3/19/2023,25.375,7.975,
3/20/2023,24.1,11.3,
3/21/2023,26.75,8.825,
3/22/2023,26.775,7.275,
3/23/2023,26.075,9.2,
3/24/2023,26.6,9.4,
3/25/2023,25.775,8.675,
3/26/2023,26.125,8.825,
3/27/2023,25.125,8.475,
3/28/2023,26.275,9.6,
3/29/2023,25.15,12.325,
3/30/2023,25.125,12.925,
3/31/2023,24.65,13.65,
4/1/2023,24.35,12.175,
4/2/2023,24.975,10.625,
4/3/2023,23.875,14.225,
4/4/2023,24.075,12.4,
4/5/2023,24.95,11.825,
4/6/2023,23.75,12.85,
4/7/2023,23.95,10.175,
4/8/2023,24.55,12.925,
4/9/2023,25.35,12.825,
4/10/2023,24.5,15.1,
4/11/2023,25.675,12.9,
4/12/2023,25.25,11.325,
4/13/2023,25.925,8.725,
4/14/2023,24.45,9.15,
4/15/2023,25.75,11.325,
4/16/2023,25.95,8.7,
4/17/2023,27.775,8.875,
4/18/2023,26,6.925,
4/19/2023,26,8.225,
4/20/2023,25.575,8.775,
4/21/2023,25.075,7.4,
4/22/2023,26.65,7.625,
4/23/2023,25.375,7.825,
4/24/2023,25,8.95,
4/25/2023,26.575,8.975,
4/26/2023,25.15,10.65,
4/27/2023,26.75,8.475,
4/28/2023,26.2,7.625,
4/29/2023,26.9,11.1,
4/30/2023,26.975,8.4,
5/1/2023,26.4,12.4,
5/2/2023,26.975,7.625,
5/3/2023,27.175,8.675,
5/4/2023,26.1,7.75,
5/5/2023,26.775,9.15,
5/6/2023,25.65,9.1,
5/7/2023,26,8.05,
5/8/2023,25.625,7.225,
5/9/2023,25.375,8.85,
5/10/2023,26.675,8.125,
5/11/2023,25.9,12.425,
5/12/2023,26,11.25,
5/13/2023,24.8,13.35,
5/14/2023,23.8,12.325,
5/15/2023,24.975,10.3,
5/16/2023,25.475,6.975,
5/17/2023,25.325,8.1,
5/18/2023,25.175,8.65,
5/19/2023,25.4,8.675,
5/20/2023,25.125,7.1,
5/21/2023,26.05,7.75,
5/22/2023,25.3,9.175,
5/23/2023,25.3,8,
5/24/2023,25.5,8.475,
5/25/2023,25.475,7.775,
5/26/2023,25.225,9.125,
5/27/2023,26.15,10.3,
5/28/2023,26.425,7.25,
5/29/2023,26.425,7.9,
5/30/2023,25.675,9.275,
5/31/2023,25.175,7.975,
6/1/2023,25.85,7.875,
6/2/2023,25.85,10.325,
6/3/2023,26.65,7.6,
6/4/2023,26.275,7.3,
6/5/2023,26.925,6.925,
6/6/2023,25.6,8.125,
6/7/2023,25.2,10.25,
6/8/2023,25.35,7.525,
6/9/2023,24.825,8.225,
6/10/2023,24.4,11.15,
6/11/2023,25.1,11.225,
6/12/2023,26.375,8.275,
6/13/2023,26.95,9.05,
6/14/2023,25.175,9.7,
6/15/2023,25.75,7.45,
6/16/2023,24.85,7.675,
6/17/2023,25.475,8.025,
6/18/2023,25.775,6.9,
6/19/2023,24.525,10.9,
6/20/2023,24.775,10.5,
6/21/2023,25.6,11.575,
6/22/2023,26.225,10.05,
6/23/2023,25.875,9.625,
6/24/2023,26.025,9.575,
6/25/2023,25.225,9.8,
6/26/2023,24.75,9.3,
6/27/2023,25,8.85,
6/28/2023,25.35,10.075,
6/29/2023,25.05,11.6,
6/30/2023,25.175,8.375,
7/1/2023,25.6,7.15,
7/2/2023,25.225,7.2,
7/3/2023,26.15,5.7,
